,review_name,pmid,outcome_name,comparison_name,metric,intervention1,intervention2,estimate,lower,upper,result_str,direction,XML_file_names
26081,CD008039 v. 4.0 Ibuprofen with or without an antiemetic for acute migraine headaches in adults.rm5,17563841,Pain-free at 2 hours,Ibuprofen 400 mg versus placebo,RR,Ibuprofen,Placebo,15.38461538,2.118549657,111.7209548,sig diff, pos,PMC3476139.nxml
26084,CD008039 v. 4.0 Ibuprofen with or without an antiemetic for acute migraine headaches in adults.rm5,17563841,Sustained headache relief over 24 hours,Ibuprofen 400 mg versus placebo,RR,Ibuprofen,Placebo,7.371794872000001,2.360535973,23.02161893,sig diff, pos,PMC3476139.nxml
26089,CD008039 v. 4.0 Ibuprofen with or without an antiemetic for acute migraine headaches in adults.rm5,17563841,Any adverse event within 24 hours,Ibuprofen 400 mg versus placebo,RR,Ibuprofen,Placebo,2.564102564,0.720913935,9.119843074,no sig diff,,PMC3476139.nxml
26095,CD008039 v. 4.0 Ibuprofen with or without an antiemetic for acute migraine headaches in adults.rm5,17563841,Participants using rescue medication,Ibuprofen 400 mg versus placebo,RR,Ibuprofen,Placebo,0.501672241,0.36988994399999997,0.680405189,sig diff, neg,PMC3476139.nxml
14639,CD004064 v. 10.0 Chemotherapy for advanced gastric cancer.rm5,17147808,Tumour response,Docetaxel versus non-docetaxel-containing regimes,OR,Docetaxel,Non-Docetaxel,1.018099548,0.430523451,2.40759635,no sig diff,,PMC1693922.nxml
12477,CD003409 v. 19.0 Methadone at tapered doses for the management of opioid withdrawal.rm5,19686525,Completion of treatment,Tapered methadone versus any other treatment,RR,Methadone,Other pharmac treatm,0.9996,0.754472241,1.32436968,no sig diff,,PMC2773536.nxml
12496,CD003409 v. 19.0 Methadone at tapered doses for the management of opioid withdrawal.rm5,19686525,Completion of treatment methadone versus any other opioid agonist,Tapered methadone versus other opioid agonists,RR,Methadone,Other opioid agonist,0.9996,0.754472241,1.32436968,no sig diff,,PMC2773536.nxml
5362,CD001544 v. 8.0 Mechanical bowel preparation for elective colorectal surgery.rm5,20433721,Overall anastomotic leakage,Mechanical bowel preparation versus rectal enema,OR,Preparation,Enema,1.4743362830000002,0.454776027,4.77964393,no sig diff,,PMC2873340.nxml
5366,CD001544 v. 8.0 Mechanical bowel preparation for elective colorectal surgery.rm5,20433721,Mortality,Mechanical bowel preparation versus rectal enema,OR,Preparation,Enema,2.103448276,0.378051289,11.70342433,no sig diff,,PMC2873340.nxml
5370,CD001544 v. 8.0 Mechanical bowel preparation for elective colorectal surgery.rm5,20433721,Peritonitis / Abscess,Mechanical bowel preparation versus rectal enema,OR,Preparation,Enema,2.122807018,0.518623246,8.688985052,no sig diff,,PMC2873340.nxml
